fecha,cobro
2015-07-22,1945518.89864
2015-07-23,1885882.2376
2015-07-24,1906056.45978
2015-07-25,1461614.14316
2015-07-26,836780.715375
2015-07-27,2150977.34626
2015-07-28,2125548.9237
2015-07-29,2322190.39319
2015-07-30,1921810.56062
2015-07-31,1767645.65033
2015-08-01,1327886.62595
2015-08-02,937933.628131
2015-08-03,1859675.24273
2015-08-04,1755350.88829
2015-08-05,1726118.18457
2015-08-06,1725465.49322
2015-08-07,1738363.48193
2015-08-08,1402766.49946
2015-08-09,1058945.7474
2015-08-10,1764375.30594
2015-08-11,1812998.50204
2015-08-12,1691275.74456
2015-08-13,1589809.03766
2015-08-14,1620062.57495
2015-08-15,1111327.2489
2015-08-16,1015287.46256
2015-08-17,1676596.4686
2015-08-18,1711328.90471
2015-08-19,1698002.79907
2015-08-20,1767168.05928
2015-08-21,1818805.62867
2015-08-22,1445046.10235
2015-08-23,1103661.40538
2015-08-24,1899060.42328
2015-08-25,2074120.36288
2015-08-26,1931400.78273
2015-08-27,2035818.47502
2015-08-28,2504166.73855
2015-08-29,1698724.75765
2015-08-30,1229962.56062
2015-08-31,1863633.72876
2015-09-01,1885847.68949
2015-09-02,1798612.95608
2015-09-03,1704540.9747
2015-09-04,1750819.75324
2015-09-05,1410574.26398
2015-09-06,1081218.04494
2015-09-07,1874505.18172
2015-09-08,1908517.37808
2015-09-09,1757838.55559
2015-09-10,1668886.2475
2015-09-11,1648394.11983
2015-09-12,1350120.46142
2015-09-13,943637.362891
2015-09-14,1027425.58267
2015-09-15,1591377.44323
2015-09-16,1745388.7187
2015-09-17,1664729.89285
2015-09-18,1922957.22714
2015-09-19,1454531.35366
2015-09-20,1079449.07934
2015-09-21,1984445.96735
2015-09-22,2108532.8807
2015-09-23,1971713.51855
2015-09-24,2025947.23105
2015-09-25,1971589.40149
2015-09-26,1651413.81442
2015-09-27,1225172.65163
2015-09-28,2308161.97702
2015-09-29,2310936.71567
2015-09-30,1980854.97547
2015-10-01,1810194.20815
2015-10-02,1734810.59509
2015-10-03,1394670.07631
2015-10-04,1082643.97133
2015-10-05,1837113.45788
2015-10-06,1964023.94614
2015-10-07,1996724.92014
2015-10-08,1944279.05885
2015-10-09,1876485.27349
2015-10-10,1451055.04608
2015-10-11,1091402.91298
2015-10-12,1781002.14433
2015-10-13,1758885.83683
2015-10-14,1664026.17044
2015-10-15,1636924.37824
2015-10-16,1723931.48193
2015-10-17,1333563.24519
2015-10-18,911364.49975
2015-10-19,1222012.62006
2015-10-20,1958506.06512
2015-10-21,1943879.57596
2015-10-22,1826867.68575
2015-10-23,1889422.7322
2015-10-24,1429033.1212
2015-10-25,1114645.33505
2015-10-26,1867367.30145
2015-10-27,1954348.40144
2015-10-28,2017185.53453
2015-10-29,2377814.18768
2015-10-30,1958550.9908
2015-10-31,1153061.98408
2015-11-01,1063770.79126
2015-11-02,1803961.47694
2015-11-03,1906662.00977
2015-11-04,2007271.00793
2015-11-05,1880382.71138
2015-11-06,1799135.09458
2015-11-07,1421680.94197
2015-11-08,938871.753221
2015-11-09,1944238.69376
2015-11-10,1798390.63147
2015-11-11,1684187.28081
2015-11-12,1653882.39321
2015-11-13,1761334.8075
2015-11-14,1404884.5156
2015-11-15,1045327.94759
2015-11-16,1832392.01256
2015-11-17,1837619.03937
2015-11-18,1849255.56602
2015-11-19,1858028.79323
2015-11-20,2001774.03675
2015-11-21,1501214.2584
2015-11-22,972604.749799
2015-11-23,2065570.58749
2015-11-24,2215222.75319
2015-11-25,2393473.32069
2015-11-26,2222740.90555
2015-11-27,2930077.1136
