fecha,cobro
2015-07-24,1913144.7
2015-07-25,1305458.73462
2015-07-26,617244.646154
2015-07-27,2612722.10846
2015-07-28,2116614.61308
2015-07-29,2391280.63923
2015-07-30,1781136.56538
2015-07-31,1713479.60077
2015-08-01,1173376.69846
2015-08-02,800923.115385
2015-08-03,2183530.40462
2015-08-04,1718696.38538
2015-08-05,1715847.23462
2015-08-06,1725236.16923
2015-08-07,1742895.20769
2015-08-08,1284854.04615
2015-08-09,938143.861538
2015-08-10,2012228.93462
2015-08-11,1830082.32769
2015-08-12,1648508.28923
2015-08-13,1554158.57308
2015-08-14,1630692.19615
2015-08-15,932582.404615
2015-08-16,981543.753846
2015-08-17,1908948.28154
2015-08-18,1723532.19308
2015-08-19,1693320.65385
2015-08-20,1791469.36692
2015-08-21,1836948.55846
2015-08-22,1313725.18769
2015-08-23,983715.430769
2015-08-24,2178524.94308
2015-08-25,2135627.90923
2015-08-26,1881256.06538
2015-08-27,2072505.77231
2015-08-28,2668721.53385
2015-08-29,1415731.62923
2015-08-30,1065262.32923
2015-08-31,2086274.95
2015-09-01,1893652.59462
2015-09-02,1767962.91462
2015-09-03,1671488.65692
2015-09-04,1767079.86462
2015-09-05,1291028.55154
2015-09-06,965498.292308
2015-09-07,2153227.68923
2015-09-08,1920467.60923
2015-09-09,1704897.34769
2015-09-10,1637632.73385
2015-09-11,1641194.18308
2015-09-12,1245321.60846
2015-09-13,800818.976923
2015-09-14,1056864.68692
2015-09-15,1789522.69154
2015-09-16,1799500.78846
2015-09-17,1636390.30538
2015-09-18,2013685.75
2015-09-19,1289949.29
2015-09-20,947663.415385
2015-09-21,2302417.84692
2015-09-22,2152130.98538
2015-09-23,1923641.85077
2015-09-24,2045002.31923
2015-09-25,1952490.70462
2015-09-26,1538919.68923
2015-09-27,1075412.24308
2015-09-28,2688671.74
2015-09-29,2311911.62385
2015-09-30,1864880.31
2015-10-01,1750232.31692
2015-10-02,1708324.46077
2015-10-03,1275161.24538
2015-10-04,973013.177692
2015-10-05,2102197.33154
2015-10-06,2008614.11769
2015-10-07,2008214.45154
2015-10-08,1925852.13462
2015-10-09,1852665.83538
2015-10-10,1301579.56077
2015-10-11,965038.65
2015-10-12,2023293.76615
2015-10-13,1751115.24231
2015-10-14,1630697.09846
2015-10-15,1627402.12692
2015-10-16,1754501.54538
2015-10-17,1196406.83769
2015-10-18,763024.4
2015-10-19,1331159.25692
2015-10-20,2217274.03231
2015-10-21,1938740.53923
2015-10-22,1785755.4
2015-10-23,1911401.53231
2015-10-24,1267274.60923
2015-10-25,1004184.76154
2015-10-26,2131837.18154
2015-10-27,1984909.32846
2015-10-28,2039263.44615
2015-10-29,2504521.55231
2015-10-30,1811242.3
2015-10-31,870052.333077
2015-11-01,1032398.21
2015-11-02,2064028.47462
2015-11-03,1942745.98077
2015-11-04,2042620.11538
2015-11-05,1835800.33692
2015-11-06,1770588.63462
2015-11-07,1289061.91538
2015-11-08,769236.092308
2015-11-09,2297475.72692
2015-11-10,1747146.71769
2015-11-11,1644061.77923
2015-11-12,1643234.73
2015-11-13,1799088.35846
2015-11-14,1279645.22385
2015-11-15,918997.261538
2015-11-16,2108928.03538
2015-11-17,1839455.56231
2015-11-18,1853344.07538
2015-11-19,1861111.27846
2015-11-20,2052279.12231
2015-11-21,1325341.90385
2015-11-22,786877.084615
2015-11-23,2449585.61154
2015-11-24,2267803.24385
2015-11-25,2456101.89846
2015-11-26,2162753.84077
2015-11-27,3178600.64615
2015-11-28,1584217.96923
2015-11-29,1139402.21846
2015-11-30,2478827.03923
2015-12-01,2047057.84231
2015-12-02,2002519.41769
2015-12-03,1793706.16
2015-12-04,1911513.52846
